id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
B1VEJATT,17.6697,48.8553,961.0,Velká Javořina,Velká Javořina,TOTAL,POINT (17.6697 48.8553)
C1BRZKTT,13.4892,48.9547,1154.0,Březník,"Březník, Hraniční slať",TOTAL,POINT (13.4892 48.9547)
C1FILHTT,13.5192,49.0294,1112.0,Filipova Huť,Filipova Huť,TOTAL,POINT (13.5192 49.0294)
C1KNSTTT,14.0119,48.8472,1126.0,Knížecí Stolec,Knížecí Stolec,TOTAL,POINT (14.0119 48.8472)
C1KPLATT,13.625,48.9572,1018.0,Knížecí Pláně,"Knížecí Pláně, Borová Lada",TOTAL,POINT (13.625 48.9572)
C1PLCHTT,13.851601,48.771198,1344.0,Plechý,"Plechý, Trojmezí",TOTAL,POINT (13.851601 48.771198)
C1POLETT,13.3958,49.0642,1312.0,Poledník,Poledník,TOTAL,POINT (13.3958 49.0642)
C1ROSLTT,13.4167,49.0156,1096.0,Rokytská slať,Rokytská slať,TOTAL,POINT (13.4167 49.0156)
C2POHSTT,14.7028,48.6044,932.0,Pohoří na Šumavě,Pohoří na Šumavě,TOTAL,POINT (14.7028 48.6044)
L1CERCTT,12.785182,49.384633,1016.0,Čerchov,"Čerchov, Čerchov",TOTAL,POINT (12.785182 49.384633)
L1JEZHTT,13.184692,49.168686,1343.0,Jezerní hora,Jezerní hora,TOTAL,POINT (13.184692 49.168686)
L1MARATT,13.73075,49.58855,782.0,Marásek,"Marásek, Marásek na Bůrku",TOTAL,POINT (13.73075 49.58855)
L1PANCTT,13.252276,49.17722,1189.0,Pancíř,Pancíř,TOTAL,POINT (13.252276 49.17722)
L3LYSITT,12.651237,50.022636,980.0,Lysina,Lysina,TOTAL,POINT (12.651237 50.022636)
O1CANTTT,18.7958,49.6792,974.0,Velká Čantoryje,Velká Čantoryje,TOTAL,POINT (18.7958 49.6792)
O1GRUNTT,18.495,49.4908,855.0,Gruň,"Gruň, Kozlena",TOTAL,POINT (18.495 49.4908)
O1KLINTT,17.1967,50.12,1099.0,Malý Klín,Malý Klín,TOTAL,POINT (17.1967 50.12)
O1ROPITT,18.5597,49.6169,880.0,Ropička,Ropička,TOTAL,POINT (18.5597 49.6169)
O1SERATT,17.1075,50.1883,1320.0,Šerák,Šerák,TOTAL,POINT (17.1075 50.1883)
O1SKRTTT,17.151505,49.999157,876.0,Skřítek,"Skřítek, Sobotín, Rudoltice",TOTAL,POINT (17.151505 49.999157)
O2KRALTT,16.851393,50.204171,1369.0,Králický Sněžník,Králický Sněžník,TOTAL,POINT (16.851393 50.204171)
O3PUSTTT,18.279722,49.4917,1014.0,Pustevny,Pustevny,TOTAL,POINT (18.279722 49.4917)
O3ZDECTT,18.0792,49.2444,730.0,Zděchov,Zděchov,TOTAL,POINT (18.0792 49.2444)
U1BOURTT,13.70631,50.68494,860.0,Bouřňák,Bouřňák,TOTAL,POINT (13.70631 50.68494)
U1SNEZTT,14.10717,50.79367,716.0,Sněžník,Sněžník,TOTAL,POINT (14.10717 50.79367)
B1PROS01,17.134722,49.4525,214.75,Prostějov,Prostějov,AMS,POINT (17.134722 49.4525)
B2BTUR01,16.688889,49.153056,241.0,Brno,"Brno, Tuřany",AMS,POINT (16.688889 49.153056)
B2SEDC01,16.120556,49.170833,474.0,Sedlec,Sedlec,AMS,POINT (16.120556 49.170833)
H2POLO01,16.322222,50.350278,747.24,Polom,"Polom, Sedloňov",AMS,POINT (16.322222 50.350278)
H3CHTU01,15.386389,49.940833,238.2,Chotusice,"Chotusice, letiště",AMS,POINT (15.386389 49.940833)
H3PARD01,15.740273,50.016111,224.21,Pardubice,"Pardubice, letiště",AMS,POINT (15.740273 50.016111)
L3KVAL01,12.914167,50.201667,603.0,Karlovy Vary,"Karlovy Vary, Olšová Vrata",AMS,POINT (12.914167 50.201667)
O1MOSN01,18.112778,49.691944,252.8,Mošnov,Mošnov,AMS,POINT (18.112778 49.691944)
P1PKBE01,14.538056,50.123333,284.5,Praha,"Praha, Kbely",AMS,POINT (14.538056 50.123333)
P1PRUZ01,14.255556,50.100278,364.0,Praha,"Praha, Ruzyně",AMS,POINT (14.255556 50.100278)
U1MILE01,13.93083,50.555,830.5,Milešovka,Milešovka,AMS,POINT (13.93083 50.555)
B1HOLE01,17.57,49.320556,222.25,Holešov,Holešov,AMS1,POINT (17.57 49.320556)
B2DUKO01,16.134444,49.095556,400.15,Dukovany,Dukovany,AMS1,POINT (16.134444 49.095556)
B2KMYS01,15.439167,49.159167,569.0,Kostelní Myslová,Kostelní Myslová,AMS1,POINT (15.439167 49.159167)
