id,X,Y,ELEMENT,ELEVATION,NAME,FNAME,geometry
C1VACP01,13.72,49.1336,T,738.0,Vacov,"Vacov, Peckov",POINT (13.72 49.1336)
H4SUVR01,16.693368,50.049859,T,995.0,Suchý vrch,Suchý vrch,POINT (16.693368 50.049859)
H4SUVR01,16.693368,50.049859,T,995.0,Suchý vrch,Suchý vrch,POINT (16.693368 50.049859)
L2TACH01,12.623135,49.798357,T,487.0,Tachov,Tachov,POINT (12.623135 49.798357)
P4KJIZ01,15.347772,50.819517,T,850.0,Kořenov,"Kořenov, Jizerka",POINT (15.347772 50.819517)
P4KJIZ01,15.347772,50.819517,T,850.0,Kořenov,"Kořenov, Jizerka",POINT (15.347772 50.819517)
H1VRCH01,15.646389,50.622778,T,482.0,Vrchlabí,Vrchlabí,POINT (15.646389 50.622778)
H1VRCH01,15.646389,50.622778,T,482.0,Vrchlabí,Vrchlabí,POINT (15.646389 50.622778)
H2POLO01,16.322222,50.350278,T,747.24,Polom,"Polom, Sedloňov",POINT (16.322222 50.350278)
H2ROKY01,16.460258,50.164432,T,577.0,Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,POINT (16.460258 50.164432)
H2RYCH01,16.270033,50.164879,T,335.0,Rychnov nad Kněžnou,Rychnov nad Kněžnou,POINT (16.270033 50.164879)
H2USTI01,16.422222,49.980278,T,401.7,Ústí nad Orlicí,Ústí nad Orlicí,POINT (16.422222 49.980278)
H2ZAMB01,16.45477,50.069195,T,405.0,Žamberk,Žamberk,POINT (16.45477 50.069195)
H3BROU01,16.343617,50.569966,T,373.0,Broumov,Broumov,POINT (16.343617 50.569966)
H3CASL01,15.394281,49.901675,T,251.0,Čáslav,"Čáslav, Nové město",POINT (15.394281 49.901675)
P3NRYC01,15.365,49.3858,T,624.0,Nový Rychnov,Nový Rychnov,POINT (15.365 49.3858)
P3ONDR01,14.7847,49.9072,T,485.0,Ondřejov,Ondřejov,POINT (14.7847 49.9072)
P3PRIB01,15.7625,49.582778,T,532.5,Přibyslav,"Přibyslav, Hřiště",POINT (15.7625 49.582778)
P3STAN01,15.0678,49.9028,T,415.0,Vavřinec,"Vavřinec, Žíšov",POINT (15.0678 49.9028)
P3VLAS01,14.894722,49.691944,T,415.0,Vlašim,Vlašim,POINT (14.894722 49.691944)
U1DOKS01,14.17,50.45889,T,158.0,Doksany,Doksany,POINT (14.17 50.45889)
U1KATU01,13.32806,50.37667,T,322.4,Tušimice,Tušimice,POINT (13.32806 50.37667)
U1KOPI01,13.62278,50.54417,T,240.0,Kopisty,Kopisty,POINT (13.62278 50.54417)
U1MEDE01,13.13256,50.42936,T,828.0,Měděnec,Měděnec,POINT (13.13256 50.42936)
U1MILE01,13.93083,50.555,T,830.5,Milešovka,Milešovka,POINT (13.93083 50.555)
O1BELO01,17.8042,49.5869,T,306.0,Bělotín,Bělotín,POINT (17.8042 49.5869)
H3CHTU01,15.386389,49.940833,T,238.2,Chotusice,"Chotusice, letiště",POINT (15.386389 49.940833)
H3GAJE01,16.410023,49.821051,T,515.0,Gajer,"Gajer, Janov",POINT (16.410023 49.821051)
H3HOLO01,15.57805,50.376952,T,321.0,Holovousy,Holovousy,POINT (15.57805 50.376952)
H3HRAD01,15.838452,50.177649,T,278.0,Hradec Králové,"Hradec Králové, Nový Hradec Králové",POINT (15.838452 50.177649)
H3HRUS01,16.19522,49.916517,T,291.0,Hrušová,Hrušová,POINT (16.19522 49.916517)
H3JICI01,15.352626,50.439511,T,283.0,Jičín,Jičín,POINT (15.352626 50.439511)
H3LBEL01,15.588567,50.427437,T,299.0,Lázně Bělohrad,Lázně Bělohrad,POINT (15.588567 50.427437)
H3LIBC01,15.704862,49.744164,T,425.0,Libice nad Doubravou,Libice nad Doubravou,POINT (15.704862 49.744164)
U1NOVE01,13.48561,50.59244,T,725.0,Nová Ves v Horách,Nová Ves v Horách,POINT (13.48561 50.59244)
U1SMOL01,13.85617,50.30872,T,345.0,Smolnice,Smolnice,POINT (13.85617 50.30872)
U1SNEZ01,14.08536,50.79683,T,569.0,Sněžník,Sněžník,POINT (14.08536 50.79683)
U1STRJ01,13.47694,50.17378,T,372.0,Strojetice,Strojetice,POINT (13.47694 50.17378)
U1TEPL01,13.836344,50.645153,T,227.0,Teplice,Teplice,POINT (13.836344 50.645153)
U1ULKO01,14.04111,50.68333,T,375.39,Ústí nad Labem,"Ústí nad Labem, Kočkov",POINT (14.04111 50.68333)
U1ULMA01,14.05831,50.62556,T,150.0,Ústí nad Labem,"Ústí nad Labem, Vaňov",POINT (14.05831 50.62556)
U1ZATE01,13.54319,50.34147,T,210.0,Žatec,Žatec,POINT (13.54319 50.34147)
U2BEDR01,15.13708,50.81511,T,777.0,Bedřichov,Bedřichov,POINT (15.13708 50.81511)
C1TEME03,14.342222,49.197778,T,500.0,Temelín,"Temelín, MW332",POINT (14.342222 49.197778)
P1PVIN01,14.46186,50.07584,T,280.0,Praha,"Praha, Vinohrady - Flora",POINT (14.46186 50.07584)
P1PVIN01,14.46186,50.07584,T,280.0,Praha,"Praha, Vinohrady - Flora",POINT (14.46186 50.07584)
L4PRAH01,13.81838,49.65889,T,862.0,Praha,"Praha, Brdy",POINT (13.81838 49.65889)
